[TRP]
						Atom	Raw	        Charges	Edit
CHARGE,	GLUBK,	 O  :	-0.55		3	O	-0.5781405	-0.578	-0.562
CHARGE,	GLU01,	CB :	0		1	CB	-0.018753	-0.019	-0.024
CHARGE,	GLU01,	HB2:	0		6	HB1	0.034966	0.035	 0.030
CHARGE,	GLU01,	HB3:	0		7	HB2	0.034966	0.035	 0.030
CHARGE,	GLU01,	CG :	0		2	CG	-0.038364	-0.038	-0.043
CHARGE,	GLU01,	HG2:	0		8	HG1	0.048444	0.048	 0.044
CHARGE,	GLU01,	HG3:	0		9	HG2	0.048444	0.048	 0.044
CHARGE,	GLU01,	CD :	0.55		3	CD	0.638937	0.639	 0.634
CHARGE,	GLU01,	OE1:	-0.495		10	OE1	-0.559031	-0.559	-0.564
CHARGE,	GLU01,	HE1:	0.435		13	HE1	0.447661	0.448	 0.443
CHARGE,	GLU01,	OE2:	-0.49		11	OE2	-0.588722	-0.589	-0.594
CHARGE,	GLU02,	CB :	0		1	CB	-0.018753	-0.019	-0.024
CHARGE,	GLU02,	HB2:	0		6	HB1	0.034966	0.035	 0.030
CHARGE,	GLU02,	HB3:	0		7	HB2	0.034966	0.035	 0.030
CHARGE,	GLU02,	CG :	0		2	CG	-0.038364	-0.038	-0.043
CHARGE,	GLU02,	HG2:	0		8	HG1	0.048444	0.048	 0.044
CHARGE,	GLU02,	HG3:	0		9	HG2	0.048444	0.048	 0.044
CHARGE,	GLU02,	CD :	0.55		3	CD	0.638937	0.639	 0.634
CHARGE,	GLU02,	OE1:	-0.49		10	OE1	-0.588722	-0.589	-0.594
CHARGE,	GLU02,	OE2:	-0.495		11	OE2	-0.559031	-0.559	-0.564
CHARGE,	GLU02,	HE2:	0.435		13	HE1	0.447661	0.448	 0.443
CHARGE,	GLU-1,	 CB :	0		6	CB	0.074772	0.075	 0.059
CHARGE,	GLU-1,	 HB2:	0		11	HB1	-0.003535	-0.004	-0.019
CHARGE,	GLU-1,	 HB3:	0		12	HB2	-0.003535	-0.004	-0.019
CHARGE,	GLU-1,	 CG :	0		7	CG	-0.033909	-0.034	-0.050
CHARGE,	GLU-1,	 HG2:	0		13	HG1	-0.004135	-0.004	-0.020
CHARGE,	GLU-1,	 HG3:	0		14	HG2	-0.004135	-0.004	-0.020
CHARGE,	GLU-1,	 CD :	0.1		8	CD	0.765188	0.765	 0.749
CHARGE,	GLU-1,	 OE1:	-0.55		10	OE1	-0.824035	-0.824	-0.840
CHARGE,	GLU-1,	 OE2:	-0.55		9	OE2	-0.824035	-0.824	-0.840

[LYS]
						Atom	RawBKAvg	Charges	Edit
CHARGE,	LYSBK,	 N  :	-0.35		0	N	-0.4257875	-0.426	-0.424
CHARGE,	LYSBK,	 H  :	0.25		4	H	0.261601	0.262	 0.263
CHARGE,	LYSBK,	 CA :	0.1		1	CA	-0.0554165	-0.055	-0.054
CHARGE,	LYSBK,	 HA :	0		5	HA	0.114439	0.114	 0.116
CHARGE,	LYSBK,	 C  :	0.55		2	C	0.6612145	0.661	 0.663
CHARGE,	LYSBK,	 O  :	-0.55		3	O	-0.5655285	-0.566	-0.564
CHARGE,	LYS01,	 CB :	0		1	CB	-0.04845	-0.048	-0.054
CHARGE,	LYS01,	 HB2:	0		6	HB1	0.034	        0.034	 0.028
CHARGE,	LYS01,	 HB3:	0		7	HB2	0.034	        0.034	 0.028
CHARGE,	LYS01,	 CG :	0		2	CG	0.06612	        0.066	 0.060
